Feature,Gain
avg_t2m,0.22108468
t2min_s7,0.12334414
rad_s10,0.037280522
t2m_s9,0.031735238
max_t2max,0.022790588
t2min_s8,0.022192024
t2max_s8,0.022156427
t2m_s8,0.021357125
t2m_s10,0.017155148
t2max_s10,0.016412605
t2m_s6,0.01596425
total_prcp,0.015772061
t2max_s4,0.015053003
t2m_s1,0.014662312
prcp_s1,0.013729975
t2m_s5,0.013231905
prcp_late,0.013125722
t2max_s3,0.0126937665
t2min_s10,0.01127533
prcp_mid,0.01033554
t2min_s6,0.010209686
prcp_s6,0.010081944
t2max_s6,0.009860072
t2min_s3,0.009780439
t2m_s3,0.009633218
prcp_s7,0.009443655
min_t2min,0.009110469
t2max_s5,0.009047573
t2m_s7,0.009034505
gdd_s10,0.008927736
t2min_s4,0.008898542
gdd_s8,0.008471745
t2min_s5,0.007951867
gdd_late,0.007760945
rad_s6,0.007594195
gdd_s6,0.0074117286
t2max_s7,0.0073160403
gdd_s7,0.0073058815
prcp_s4,0.007232059
rad_s3,0.007084143
prcp_early,0.006967543
t2max_s1,0.0067609814
t2min_s9,0.0062904307
gdd_early,0.006076433
t2min_s2,0.0059908745
gdd_s1,0.005814538
gdd_s9,0.0057008252
t2max_s9,0.0055257604
soilp_ppm,0.005454827
rad_s1,0.0053898795
t2m_s4,0.0053817015
prcp_s10,0.005291185
prcp_s8,0.005186067
prcp_s3,0.0051065073
rad_s9,0.004922616
rad_s7,0.00475635
gdd_s5,0.004646145
prcp_s5,0.004610548
t2min_s1,0.004411191
t2m_s2,0.004394918
total_gdd,0.004351836
rad_s5,0.004172888
t2max_s2,0.0041062795
gdd_mid,0.004012377
prcp_s2,0.0039194655
rad_s2,0.0034115533
gdd_s4,0.0032492722
om_pct,0.003167541
rad_s8,0.0031418514
rad_s4,0.003107186
total_rad,0.003042195
prcp_s9,0.002204803
gdd_s3,0.0021280635
soilk_ppm,0.0016744769
gdd_s2,0.0012663748
soilp_h,0.0008556985
