year,site,yield_mg_ha,soilp_h,soilk_ppm,soilp_ppm,om_pct,previous_crop,total_gdd,total_prcp,avg_t2m,gdd_early,gdd_mid,gdd_late,prcp_early,prcp_mid,prcp_late,t2m_s6,t2m_s7,t2m_s8,prev_crop_simple
2022,MOH2,6.706725436,7.7,96.0,46.0,2.9,soybean,2103.49,404.13,23.1347095588235,620.97,1004.96,477.56,159.12,172.53,72.48,27.1152941176471,25.294375,23.8605882352941,Soybean
2014,NYH1,9.133392986,,,,,corn,1236.18,546.05,13.9136447368421,547.94,615.945,72.295,185.88,226.74,133.43,16.1836842105263,13.8675,10.6426315789474,Corn
2020,TXH1,11.54146832,8.1,285.0,39.0,1.6,,2178.885,487.45,25.0496333333333,492.835,882.15,803.9,144.0,283.96,59.49,27.0766666666667,27.4433333333333,28.525625,Other
2020,TXH1,5.697910701,8.1,285.0,39.0,1.6,,2178.885,487.45,25.0496333333333,492.835,882.15,803.9,144.0,283.96,59.49,27.0766666666667,27.4433333333333,28.525625,Other
2014,IAH1,13.24750727,,,,,soybean,1515.415,669.46,19.3315791666667,514.96,737.51,262.945,258.76,218.53,192.17,21.8225,23.8333333333333,15.9975,Soybean
2014,IAH4,10.48812824,,,,,soybean,1508.435,688.19,18.8466507352941,528.93,738.855,240.65,298.97,265.97,123.25,22.759375,20.58,14.695,Soybean
2016,NEH4,8.994398069,,,,,,1746.63,449.2,20.951925,670.745,804.65,271.235,160.19,226.32,62.69,22.41125,21.34,15.376875,Other
2022,IAH3,11.21846549,6.6,194.0,47.0,4.8,soybean,1762.965,341.44,20.6382058823529,507.035,876.16,379.77,137.57,157.46,46.41,24.968125,23.100625,21.41625,Soybean
2019,NEH1,12.8323966,6.5,585.0,24.0,2.2,soybean,1744.425,642.66,18.2257807017544,597.795,940.105,206.525,297.77,219.06,125.83,21.4344444444444,23.4083333333333,17.2572222222222,Soybean
2022,WIH2,12.085287,6.8,152.0,56.0,3.9,soybean,1458.71,602.17,15.7396763157895,585.59,752.71,120.41,221.0,272.96,108.21,19.6426315789474,14.6405263157895,8.28894736842105,Soybean
2020,NYH3,16.74902429,7.9,50.0,9.0,3.1,soybean,1535.875,380.33,18.2635882352941,542.23,798.195,195.45,122.13,143.54,114.66,21.55,18.7611764705882,14.1747058823529,Soybean
2021,ILH1,10.29891913,,,,,,1816.49,617.04,21.3224958333333,417.365,808.195,590.93,169.96,323.63,123.45,24.08875,22.89,25.135625,Other
2020,MOH1,7.277064306,6.1,100.0,21.0,2.4,soybean,1718.23,475.68,21.9763333333333,605.205,787.655,325.37,172.86,231.72,71.1,24.4042857142857,23.4228571428571,18.375,Soybean
2020,MOH1,6.901302589,6.1,100.0,21.0,2.4,soybean,1718.23,475.68,21.9763333333333,605.205,787.655,325.37,172.86,231.72,71.1,24.4042857142857,23.4228571428571,18.375,Soybean
2017,INH1,15.36740841,,,,,,1659.35,533.7,20.5257875,482.66,737.465,439.225,212.14,215.67,105.89,20.872,19.996875,18.1273333333333,Other
2018,WIH2,7.163674067,6.9,201.0,47.0,3.2,soybean,1444.915,801.62,19.0154458333333,463.045,739.42,242.45,191.53,404.96,205.13,23.9493333333333,20.953125,18.6973333333333,Soybean
2016,IAH2,12.21141459,5.9,159.0,42.0,,soybean,1695.22,656.65,19.6703529411765,370.655,863.03,461.535,193.74,248.49,214.42,24.1788235294118,22.4488235294118,21.5129411764706,Soybean
2023,DEH1,12.9448092,6.2,192.0,205.0,1.5,soybean,1873.365,522.14,22.8496047619048,399.0,893.72,580.645,138.13,230.53,153.48,25.3933333333333,26.4321428571429,24.322,Soybean
2017,COH1,5.730688183,8.3,404.0,34.0,2.65,sugar beet,1465.365,214.27,16.5964673202614,599.835,701.175,164.355,37.36,115.46,61.45,21.5788888888889,13.42,9.34277777777778,Sugar Beet
2015,NYH1,6.509380081,,,,,,,,,,,,,,,,,,Other
2020,WIH2,8.294649984,6.7,183.0,68.0,4.7,soybean,1359.655,654.25,17.1582794117647,436.535,755.165,167.955,234.25,247.57,172.43,21.3475,20.2652941176471,14.2064705882353,Soybean
2021,IAH4,8.682651657,5.9,239.0,52.0,3.0,soybean,2015.555,490.76,20.4289473684211,549.255,1056.04,410.26,120.52,214.41,155.83,24.7321052631579,23.9136842105263,20.1278947368421,Soybean
2019,WIH2,8.273155745,7.1,111.0,40.0,4.5,soybean,1236.275,671.99,14.8886111111111,543.15,643.475,49.65,214.21,321.59,136.19,18.0564705882353,18.7729411764706,8.75352941176471,Soybean
2018,MIH1,10.88454149,6.1,147.0,21.0,2.9,soybean,1452.935,497.7,16.880839869281,568.66,777.405,106.87,110.46,222.84,164.4,21.5723529411765,19.1517647058824,13.6,Soybean
2016,IAH2,7.724001042,5.9,159.0,42.0,,soybean,1695.22,656.65,19.6703529411765,370.655,863.03,461.535,193.74,248.49,214.42,24.1788235294118,22.4488235294118,21.5129411764706,Soybean
2019,IAH1,9.639763772,6.3,177.0,54.0,5.3,soybean,1489.915,455.57,18.7947333333333,586.8,721.725,181.39,119.77,162.89,172.91,19.774,22.4406666666667,18.252,Soybean
2019,NYH3,12.41619179,7.7,55.0,8.0,3.6,soybean,1396.565,582.62,14.1233380952381,590.29,750.375,55.9,218.29,211.25,153.08,17.7095,14.7442857142857,9.5545,Soybean
2018,WIH2,8.161680004,6.9,201.0,47.0,3.2,soybean,1444.915,801.62,19.0154458333333,463.045,739.42,242.45,191.53,404.96,205.13,23.9493333333333,20.953125,18.6973333333333,Soybean
2023,TXH1,11.680981,8.1,371.0,32.0,2.4,Sorghum,1920.33,426.12,24.0782761904762,394.255,731.47,794.605,125.72,278.53,21.87,23.6886666666667,25.4821428571429,30.3653333333333,Sorghum
2018,MIH1,10.87324331,6.1,147.0,21.0,2.9,soybean,1452.935,497.7,16.880839869281,568.66,777.405,106.87,110.46,222.84,164.4,21.5723529411765,19.1517647058824,13.6,Soybean
2022,MNH1,11.80659855,,,,,soybean,1604.045,354.24,18.6569338235294,570.275,816.48,217.29,140.38,181.75,32.11,22.21875,19.9723529411765,15.5088235294118,Soybean
2017,IAH1,13.02680203,6.1,149.0,23.0,4.8,soybean,1902.08,487.73,20.1242456140351,456.24,951.025,494.815,172.94,159.46,155.33,22.4922222222222,22.3155555555556,20.4694736842105,Soybean
2016,WIH2,10.271781,6.8,78.0,4.0,3.1,soybean,1464.68,618.63,19.2962291666667,454.155,741.555,268.97,203.22,275.55,139.86,22.392,20.5626666666667,18.4975,Soybean
2023,NEH1,6.951821603,6.1,124.0,27.0,2.5,soybean,1970.835,360.5,22.8650404411765,624.025,911.095,435.715,86.45,205.19,68.86,24.883125,27.451875,21.0075,Soybean
2021,MNH1,10.90964855,,,,,soybean,1746.23,462.43,20.4410992647059,561.19,851.365,333.675,140.62,253.0,68.81,24.30625,21.22,17.99375,Soybean
2016,INH1,7.661240177,6.0,123.0,6.0,2.8,soybean,1707.215,528.37,22.2911619047619,487.265,769.94,450.01,124.49,270.96,132.92,25.4164285714286,23.4921428571429,22.9457142857143,Soybean
2022,IAH3,13.34126805,6.6,194.0,47.0,4.8,soybean,1762.965,341.44,20.6382058823529,507.035,876.16,379.77,137.57,157.46,46.41,24.968125,23.100625,21.41625,Soybean
2016,ONH1,11.1768621,7.2,162.0,98.0,2.8,wheat,1493.235,310.37,18.4651985294118,301.41,794.755,397.07,79.96,149.82,80.59,23.448125,22.628125,20.5335294117647,Wheat
2022,WIH2,11.74006482,6.8,152.0,56.0,3.9,soybean,1458.71,602.17,15.7396763157895,585.59,752.71,120.41,221.0,272.96,108.21,19.6426315789474,14.6405263157895,8.28894736842105,Soybean
2021,TXH1,8.777430838,7.9,322.0,16.0,2.0,corn,2102.76,625.0,23.6777041666667,427.96,895.97,778.83,81.48,366.21,177.31,24.9725,27.8053333333333,26.5,Corn
