site,year,latitude,longitude,previous_crop
DEH1,2014,38.637405,-75.204048,soybean
GAH1,2014,31.506544,-83.555016,cotton
IAH1,2014,41.99653,-93.696188,soybean
IAH2,2014,42.066206,-94.727606,soybean
IAH3,2014,41.98713,-92.259751,soybean
IAH4,2014,41.198645,-91.486943,soybean
ILH1,2014,40.061135,-88.233184,soybean
INH1,2014,40.488,-87.006,soybean
MNH1,2014,44.06971707,-93.53409096,soybean
MOH1,2014,38.898702,-92.20997,soybean
MOH2,2014,38.928745,-92.352163,soybean
NCH1,2014,35.29921111,-77.57159444,wheat/double crop soybean
NEH1,2014,40.834392,-96.656687,soybean
NEH2,2014,41.052978,-100.749467,wheat
NEH3,2014,41.16353,-101.99598,wheat
NYH1,2014,42.728765,-76.651654,corn
NYH2,2014,42.73,-76.65,soybean
ONH1,2014,43.497025,-80.42696111,wheat
ONH2,2014,42.45419722,-81.88311111,soybean
TXH1,2014,30.54684444,-96.43394444,wheat
TXH2,2014,34.18466667,-101.9494444,NA
WIH1,2014,43.05706111,-89.53098611,soybean
DEH1,2015,38.629977,-75.465973,Lima beans followed by rye cover crop
GAH1,2015,31.506502,-83.554962,corn
IAH1,2015,41.99825412,-93.69447028,soybean
IAH3,2015,41.97577808,-92.24139608,soybean
IAH4,2015,41.19981657,-91.4951794,soybean
ILH1,2015,40.060306,-88.233648,soybean
INH1,2015,40.47666,-87.00056,soybean
KSH1,2015,39.215864,-96.605189,sorghum
MNH1,2015,44.070989,-93.534855,soybean
MOH1,2015,38.89608333,-92.20833333,soybean
MOH2,2015,38.89853333,-92.20758333,soybean
NCH1,2015,35.29597778,-77.56711667,wheat/double crop soybean
NEH1,2015,41.166356,-96.417261,NA
NEH2,2015,41.050974,-100.746632,Winter wheat
NEH3,2015,41.158406,-101.988317,Winter wheat
NEH4,2015,41.167022,-96.417192,NA
NYH2,2015,42.732712,-76.653275,soybean
NYH3,2015,42.723512,-76.656229,Fallow most of 2014 winter planted in fall of 2014 then sprayed with Glystar 24 floz/a on 5/3/15  and killed spring of 2015 spray
OHH1,2015,39.85542,-83.664387,soybean
ONH1,2015,43.497347,-80.448907,wheat
ONH2,2015,42.454331,-81.880906,soybean
SDH1,2015,44.20888,-102.92972,wheat
TXH1,2015,30.546769,-96.43468,corn
WIH1,2015,43.054433,-89.52875,soybean
WIH2,2015,43.326656,-89.334397,soybean
ARH1,2016,34.729884,-90.759742,corn
ARH2,2016,35.838816,-90.665006,soybean
DEH1,2016,38.64865,-75.45159,soybean
GAH1,2016,31.50822,-83.559182,peanut
GAH2,2016,33.71736,-83.31141,soybean
IAH1,2016,41.198693,-91.486205,soybean
IAH2,2016,42.06591034,-94.7274477,soybean
IAH3,2016,41.987383,-92.2601563,soybean
IAH4,2016,41.99750188,-93.69989887,soybean
ILH1,2016,40.061188,-88.233272,soybean
INH1,2016,40.478351,-86.990135,soybean
KSH1,2016,39.14409,-96.629383,wheat
MIH1,2016,42.411797,-84.295393,soybean
MNH1,2016,44.066160000000004,-93.534178,soybean
MOH1,2016,38.89497,-92.20754,soybean
NCH1,2016,35.30049,-77.570669,wheat and Double Crop soybean
NYH2,2016,42.725428,-76.6551,Winter wheat
OHH1,2016,39.860557,-83.675203,soybean
ONH1,2016,43.499678,-80.451969,wheat
ONH2,2016,42.452749,-81.883455,soybean
TXH1,2016,30.546769,-96.43468,corn
WIH1,2016,43.056867,-89.531689,soybean
WIH2,2016,43.326953,-89.340156,soybean
ARH1,2017,34.729874,-90.759769,corn
ARH2,2017,35.674718,-90.07489,corn
COH1,2017,40.647855,-105.000257,sugar beet
DEH1,2017,38.669557,-75.433932,corn
GAH1,2017,31.508253,-83.559239,corn
GAH2,2017,33.726862,-83.297769,cotton
IAH1,2017,41.19942883,-91.49516276,soybean
IAH2,2017,42.06455508,-94.72074524,soybean
IAH3,2017,41.97575167,-92.24144143,soybean
IAH4,2017,41.99439403,-93.68863495,soybean
MIH1,2017,42.681899,-84.494063,corn
MOH1,2017,38.89238,-92.20483,soybean
NCH1,2017,35.296066,-77.567222,Small Grains and Double Crop soybean
NEH3,2017,41.162,-96.409,corn
NEH4,2017,41.162,-96.409,corn
NYH1,2017,42.7286167,-76.6524,soybean
NYH2,2017,42.732186,-76.653267,soybean
NYH3,2017,42.733064,-76.653178,wheat
OHH1,2017,39.85542,-83.664387,soybean
ONH1,2017,43.496036,-80.426126,wheat
ONH2,2017,42.452733,-81.883468,soybean
TXH1,2017,30.54535,-96.432581,NA
WIH1,2017,43.057176,-89.531052,soybean
WIH2,2017,43.324531,-89.335756,soybean
ARH1,2018,34.729169,-90.760887,corn
ARH2,2018,35.673794,-90.075296,corn
DEH1,2018,38.649088,-75.450174,corn
GAH1,2018,31.506548,-83.55493,peanut
GAH2,2018,33.714938,-83.309224,soybean
IAH1,2018,41.198704,-91.486184,NA
IAH2,2018,42.06593,-94.727418,NA
IAH3,2018,41.98745,-92.260145,NA
IAH4,2018,41.997745,-93.696248,soybean
ILH1,2018,40.063426,-88.228307,soybean
INH1,2018,40.478359,-86.990129,soybean
KSH1,2018,37.810416,-100.775703,sorghum
MIH1,2018,42.68848,-84.497841,soybean
MNH1,2018,44.06980718,-93.53380207,soybean
MOH1- rep 1,2018,38.898517,-92.209183,soybean
MOH1- rep 2,2018,38.894933,-92.209983,soybean
NCH1,2018,35.666642,-78.493005,NA
NEH2,2018,41.379819,-96.560109,soybean
NYH1,2018,42.7292,-76.65245,soybean
NYH2,2018,42.725427,-76.655072,soybean
NYH3,2018,42.725529,-76.655467,soybean
OHH1,2018,39.856653,-83.670361,soybean
SCH1,2018,34.622082,-82.73703,soybean
TXH1- Dry,2018,30.546732,-96.434713,NA
TXH1- Early,2018,30.546732,-96.434713,NA
TXH1- Late,2018,30.546732,-96.434713,NA
WIH1,2018,43.0554,-89.5311,soybean
WIH2,2018,43.4049,-89.3852,soybean
DEH1,2019,38.6698,-75.4341,soybean
GAH1,2019,31.506548,-83.55493,corn
GAH2,2019,33.721111,-83.307778,soybean
GEH1,2019,51.501631,9.937345,wheat
IAH1,2019,41.1994375,-91.49519078,soybean
IAH2,2019,42.06453313,-94.72084876,soybean
IAH3,2019,41.97579183,-92.24135954,soybean
IAH4,2019,42.03217123,-93.79508048,soybean
ILH1,2019,40.059138,-88.229125,soybean
INH1,2019,40.476661,-87.000529,soybean
MIH1,2019,42.707672,-84.471602,corn
MNH1,2019,44.066148,-93.523748,soybean
MOH1,2019,38.89504,-92.20918,soybean
NCH1,2019,35.669668,-78.510089,soybean
NEH1,2019,40.8604,-96.6159,soybean
NYH1,2019,42.7286833,-76.65245,soybean
NYH2,2019,42.7326631,-76.6520512,soybean
NYH3,2019,42.732626,-76.6530185,soybean
OHH1,2019,39.856629,-83.670359,soybean
ONH2,2019,42.452053,-81.882542,soybean
SCH1,2019,34.622112,-82.737411,soybean
TXH1,2019,30.546732,-96.434713,NA
TXH2,2019,30.546732,-96.434713,NA
TXH3,2019,30.546732,-96.434713,NA
WIH1,2019,43.057183,-89.530362,soybean
WIH2,2019,43.32034,-89.332787,soybean
