lon,lat,year,mm,dd,doy,yyyymmdd,t2m,t2m_max,t2m_min,prectotcorr,allsky_sfc_sw_dwn,site,date_planted,date_harvested,season_length,dap,progress,stage
-90.7601590042523,34.729625637136785,2016,4,7,98,2016-04-07,15.4,23.84,7.19,0,22.46,ARH1,2016-04-07,2016-08-30,145,0,0,s1
-90.7601590042523,34.729625637136785,2016,4,8,99,2016-04-08,12.18,18.41,6.35,0,26.3,ARH1,2016-04-07,2016-08-30,145,1,0.006896551724137931,s1
-90.7601590042523,34.729625637136785,2016,4,9,100,2016-04-09,11.87,17.73,5.93,0.12,26.2,ARH1,2016-04-07,2016-08-30,145,2,0.013793103448275862,s1
-90.7601590042523,34.729625637136785,2016,4,10,101,2016-04-10,18.04,24.32,11.47,0.19,23.85,ARH1,2016-04-07,2016-08-30,145,3,0.020689655172413793,s1
-90.7601590042523,34.729625637136785,2016,4,11,102,2016-04-11,17.93,22.36,11.7,28.1,2.23,ARH1,2016-04-07,2016-08-30,145,4,0.027586206896551724,s1
-90.7601590042523,34.729625637136785,2016,4,12,103,2016-04-12,12.87,18.4,8.57,0.19,26.05,ARH1,2016-04-07,2016-08-30,145,5,0.034482758620689655,s1
-90.7601590042523,34.729625637136785,2016,4,13,104,2016-04-13,13.39,20.35,8.05,0.24,10.43,ARH1,2016-04-07,2016-08-30,145,6,0.041379310344827586,s1
-90.7601590042523,34.729625637136785,2016,4,14,105,2016-04-14,15.83,21.14,9.18,4.79,10.37,ARH1,2016-04-07,2016-08-30,145,7,0.04827586206896552,s1
-90.7601590042523,34.729625637136785,2016,4,15,106,2016-04-15,16.21,18.76,14.47,11.63,11.32,ARH1,2016-04-07,2016-08-30,145,8,0.05517241379310345,s1
-90.7601590042523,34.729625637136785,2016,4,16,107,2016-04-16,17.44,22.29,13.35,0.08,14.19,ARH1,2016-04-07,2016-08-30,145,9,0.06206896551724138,s1
-90.7601590042523,34.729625637136785,2016,4,17,108,2016-04-17,19.13,25.24,14.89,0,25.06,ARH1,2016-04-07,2016-08-30,145,10,0.06896551724137931,s1
-90.7601590042523,34.729625637136785,2016,4,18,109,2016-04-18,18.64,23.99,14.16,0.01,20.36,ARH1,2016-04-07,2016-08-30,145,11,0.07586206896551724,s1
-90.7601590042523,34.729625637136785,2016,4,19,110,2016-04-19,16.47,19.16,13.95,5.2,7.66,ARH1,2016-04-07,2016-08-30,145,12,0.08275862068965517,s1
-90.7601590042523,34.729625637136785,2016,4,20,111,2016-04-20,18.45,21.96,13.81,12.18,12.26,ARH1,2016-04-07,2016-08-30,145,13,0.0896551724137931,s1
-90.7601590042523,34.729625637136785,2016,4,21,112,2016-04-21,19.99,24.83,15.71,7.05,20.32,ARH1,2016-04-07,2016-08-30,145,14,0.09655172413793103,s1
-90.7601590042523,34.729625637136785,2016,4,22,113,2016-04-22,18.62,24.07,13.14,0.05,26.43,ARH1,2016-04-07,2016-08-30,145,15,0.10344827586206896,s2
-90.7601590042523,34.729625637136785,2016,4,23,114,2016-04-23,19.16,25.47,12.32,0,26.56,ARH1,2016-04-07,2016-08-30,145,16,0.1103448275862069,s2
-90.7601590042523,34.729625637136785,2016,4,24,115,2016-04-24,20.16,26.62,12.97,0,26.56,ARH1,2016-04-07,2016-08-30,145,17,0.11724137931034483,s2
-90.7601590042523,34.729625637136785,2016,4,25,116,2016-04-25,21.56,26.9,16.26,0,20.93,ARH1,2016-04-07,2016-08-30,145,18,0.12413793103448276,s2
-90.7601590042523,34.729625637136785,2016,4,26,117,2016-04-26,23.13,27.75,18.63,0.89,18.13,ARH1,2016-04-07,2016-08-30,145,19,0.1310344827586207,s2
-90.7601590042523,34.729625637136785,2016,4,27,118,2016-04-27,22.43,26.01,20.09,4.27,11.82,ARH1,2016-04-07,2016-08-30,145,20,0.13793103448275862,s2
-90.7601590042523,34.729625637136785,2016,4,28,119,2016-04-28,22.17,28.28,15.72,0.33,28.82,ARH1,2016-04-07,2016-08-30,145,21,0.14482758620689656,s2
-90.7601590042523,34.729625637136785,2016,4,29,120,2016-04-29,19.99,23.02,15.74,38.91,4.02,ARH1,2016-04-07,2016-08-30,145,22,0.15172413793103448,s2
-90.7601590042523,34.729625637136785,2016,4,30,121,2016-04-30,21.46,25.08,18.42,7.41,10.84,ARH1,2016-04-07,2016-08-30,145,23,0.15862068965517243,s2
-90.7601590042523,34.729625637136785,2016,5,1,122,2016-05-01,23.36,28.37,19.03,3.08,20.14,ARH1,2016-04-07,2016-08-30,145,24,0.16551724137931034,s2
-90.7601590042523,34.729625637136785,2016,5,2,123,2016-05-02,17.59,22.04,14.98,10.5,10.61,ARH1,2016-04-07,2016-08-30,145,25,0.1724137931034483,s2
-90.7601590042523,34.729625637136785,2016,5,3,124,2016-05-03,15.8,20.09,11.74,0.49,20.57,ARH1,2016-04-07,2016-08-30,145,26,0.1793103448275862,s2
-90.7601590042523,34.729625637136785,2016,5,4,125,2016-05-04,17.04,24.97,9.22,0,26.24,ARH1,2016-04-07,2016-08-30,145,27,0.18620689655172415,s2
-90.7601590042523,34.729625637136785,2016,5,5,126,2016-05-05,15.82,22.53,9.54,0,27.49,ARH1,2016-04-07,2016-08-30,145,28,0.19310344827586207,s2
-90.7601590042523,34.729625637136785,2016,5,6,127,2016-05-06,17.04,22.98,9.9,0,29.13,ARH1,2016-04-07,2016-08-30,145,29,0.2,s2
-90.7601590042523,34.729625637136785,2016,5,7,128,2016-05-07,19.35,27.53,11.02,0,28.97,ARH1,2016-04-07,2016-08-30,145,30,0.20689655172413793,s3
-90.7601590042523,34.729625637136785,2016,5,8,129,2016-05-08,19.92,26.37,13.86,0.05,24.04,ARH1,2016-04-07,2016-08-30,145,31,0.21379310344827587,s3
-90.7601590042523,34.729625637136785,2016,5,9,130,2016-05-09,20.5,24.25,17.61,4.74,9.09,ARH1,2016-04-07,2016-08-30,145,32,0.2206896551724138,s3
-90.7601590042523,34.729625637136785,2016,5,10,131,2016-05-10,24.01,29.11,19.03,1.96,20.36,ARH1,2016-04-07,2016-08-30,145,33,0.22758620689655173,s3
-90.7601590042523,34.729625637136785,2016,5,11,132,2016-05-11,24.25,29.53,19.88,0,22.02,ARH1,2016-04-07,2016-08-30,145,34,0.23448275862068965,s3
-90.7601590042523,34.729625637136785,2016,5,12,133,2016-05-12,21.5,25.28,16.2,4.45,18.31,ARH1,2016-04-07,2016-08-30,145,35,0.2413793103448276,s3
-90.7601590042523,34.729625637136785,2016,5,13,134,2016-05-13,19.24,25.31,12.48,0,30.83,ARH1,2016-04-07,2016-08-30,145,36,0.2482758620689655,s3
-90.7601590042523,34.729625637136785,2016,5,14,135,2016-05-14,16.38,20.6,12.11,0,25.88,ARH1,2016-04-07,2016-08-30,145,37,0.25517241379310346,s3
-90.7601590042523,34.729625637136785,2016,5,15,136,2016-05-15,15.7,20.58,11.26,0,25.42,ARH1,2016-04-07,2016-08-30,145,38,0.2620689655172414,s3
-90.7601590042523,34.729625637136785,2016,5,16,137,2016-05-16,16.55,21.89,12.88,1.57,7.96,ARH1,2016-04-07,2016-08-30,145,39,0.2689655172413793,s3
-90.7601590042523,34.729625637136785,2016,5,17,138,2016-05-17,20.63,27.21,13.87,0.27,21.3,ARH1,2016-04-07,2016-08-30,145,40,0.27586206896551724,s3
-90.7601590042523,34.729625637136785,2016,5,18,139,2016-05-18,15.65,20.21,11.71,0,11.96,ARH1,2016-04-07,2016-08-30,145,41,0.2827586206896552,s3
-90.7601590042523,34.729625637136785,2016,5,19,140,2016-05-19,18.66,25.02,11.79,0.03,26.96,ARH1,2016-04-07,2016-08-30,145,42,0.2896551724137931,s3
-90.7601590042523,34.729625637136785,2016,5,20,141,2016-05-20,20.34,25.98,16.49,8.19,19.19,ARH1,2016-04-07,2016-08-30,145,43,0.296551724137931,s3
-90.7601590042523,34.729625637136785,2016,5,21,142,2016-05-21,19.99,25.77,14.11,0,26.49,ARH1,2016-04-07,2016-08-30,145,44,0.30344827586206896,s4
-90.7601590042523,34.729625637136785,2016,5,22,143,2016-05-22,21.22,27.36,13.8,0,30.3,ARH1,2016-04-07,2016-08-30,145,45,0.3103448275862069,s4
-90.7601590042523,34.729625637136785,2016,5,23,144,2016-05-23,22.45,28.76,16.1,0,28.13,ARH1,2016-04-07,2016-08-30,145,46,0.31724137931034485,s4
-90.7601590042523,34.729625637136785,2016,5,24,145,2016-05-24,24.2,29.81,18.04,2.23,25.26,ARH1,2016-04-07,2016-08-30,145,47,0.32413793103448274,s4
-90.7601590042523,34.729625637136785,2016,5,25,146,2016-05-25,24.18,28.48,20.55,14.5,15.09,ARH1,2016-04-07,2016-08-30,145,48,0.3310344827586207,s4
-90.7601590042523,34.729625637136785,2016,5,26,147,2016-05-26,25.52,29.88,22.36,7.57,19.77,ARH1,2016-04-07,2016-08-30,145,49,0.33793103448275863,s4
-90.7601590042523,34.729625637136785,2016,5,27,148,2016-05-27,24,28.06,21.19,12.48,10.3,ARH1,2016-04-07,2016-08-30,145,50,0.3448275862068966,s4
-90.7601590042523,34.729625637136785,2016,5,28,149,2016-05-28,22.72,26.65,19.61,0.38,20.41,ARH1,2016-04-07,2016-08-30,145,51,0.35172413793103446,s4
-90.7601590042523,34.729625637136785,2016,5,29,150,2016-05-29,24.61,30.9,18.03,1.07,27.27,ARH1,2016-04-07,2016-08-30,145,52,0.3586206896551724,s4
-90.7601590042523,34.729625637136785,2016,5,30,151,2016-05-30,24.74,30.53,18.78,7.89,26.33,ARH1,2016-04-07,2016-08-30,145,53,0.36551724137931035,s4
-90.7601590042523,34.729625637136785,2016,5,31,152,2016-05-31,25,29.27,19.65,2.31,22.44,ARH1,2016-04-07,2016-08-30,145,54,0.3724137931034483,s4
-90.7601590042523,34.729625637136785,2016,6,1,153,2016-06-01,23.93,28.16,20.78,4.51,17.02,ARH1,2016-04-07,2016-08-30,145,55,0.3793103448275862,s4
-90.7601590042523,34.729625637136785,2016,6,2,154,2016-06-02,24.16,28.15,20.16,1.43,20.93,ARH1,2016-04-07,2016-08-30,145,56,0.38620689655172413,s4
-90.7601590042523,34.729625637136785,2016,6,3,155,2016-06-03,24.09,26.74,21.49,9.7,12.39,ARH1,2016-04-07,2016-08-30,145,57,0.3931034482758621,s4
-90.7601590042523,34.729625637136785,2016,6,4,156,2016-06-04,24.32,28.34,20.69,2.24,21.09,ARH1,2016-04-07,2016-08-30,145,58,0.4,s4
-90.7601590042523,34.729625637136785,2016,6,5,157,2016-06-05,24.82,30.25,20.41,0.49,25.23,ARH1,2016-04-07,2016-08-30,145,59,0.4068965517241379,s5
-90.7601590042523,34.729625637136785,2016,6,6,158,2016-06-06,24.4,29.78,18.15,0,29.59,ARH1,2016-04-07,2016-08-30,145,60,0.41379310344827586,s5
-90.7601590042523,34.729625637136785,2016,6,7,159,2016-06-07,25.17,32,17.83,0,30.69,ARH1,2016-04-07,2016-08-30,145,61,0.4206896551724138,s5
-90.7601590042523,34.729625637136785,2016,6,8,160,2016-06-08,24.52,30.8,18.04,0,31.02,ARH1,2016-04-07,2016-08-30,145,62,0.42758620689655175,s5
-90.7601590042523,34.729625637136785,2016,6,9,161,2016-06-09,25.37,32.38,17.68,0,29.82,ARH1,2016-04-07,2016-08-30,145,63,0.43448275862068964,s5
-90.7601590042523,34.729625637136785,2016,6,10,162,2016-06-10,27.06,33.61,18.93,0,30.44,ARH1,2016-04-07,2016-08-30,145,64,0.4413793103448276,s5
-90.7601590042523,34.729625637136785,2016,6,11,163,2016-06-11,27.89,34.03,21.53,0.06,26.81,ARH1,2016-04-07,2016-08-30,145,65,0.4482758620689655,s5
-90.7601590042523,34.729625637136785,2016,6,12,164,2016-06-12,27.21,31.36,22.85,2.01,20.59,ARH1,2016-04-07,2016-08-30,145,66,0.45517241379310347,s5
-90.7601590042523,34.729625637136785,2016,6,13,165,2016-06-13,27.47,32.59,23.06,3.02,27.6,ARH1,2016-04-07,2016-08-30,145,67,0.46206896551724136,s5
