site,year,gdd_s1,gdd_s2,gdd_s3,gdd_s4,gdd_s5,gdd_s6,gdd_s7,gdd_s8,gdd_s9,gdd_s10,prcp_s1,prcp_s2,prcp_s3,prcp_s4,prcp_s5,prcp_s6,prcp_s7,prcp_s8,prcp_s9,prcp_s10,rad_s1,rad_s2,rad_s3,rad_s4,rad_s5,rad_s6,rad_s7,rad_s8,rad_s9,rad_s10,t2m_s1,t2m_s2,t2m_s3,t2m_s4,t2m_s5,t2m_s6,t2m_s7,t2m_s8,t2m_s9,t2m_s10
ARH1,2016,103.14500000000001,146.60999999999996,134.53000000000003,205.385,218.16000000000003,250.015,239.17000000000002,261.24000000000007,239.92499999999998,248.38000000000002,69.78,65.92999999999999,21.259999999999998,66.31,20.839999999999996,12.65,53.669999999999995,85.25000000000001,26.78,59.56,259.06,308.29,292.29,323.21999999999997,367.39000000000004,390.39,336.88,335.29999999999995,291.45000000000005,266.71,16.256,19.688666666666666,19.47714285714286,23.675333333333334,26.728571428571428,29.271333333333335,29.089285714285715,29.762,28.997857142857143,27.272
ARH1,2017,142.95,153.415,194.78,198.805,229.97,245.815,238.37999999999997,235.185,240.46000000000004,185.07500000000002,107.66,44.49,67.55999999999999,38.95,78.69,54.29,37.26,44.019999999999996,57.65999999999999,79.73000000000002,266.85999999999996,356.7,319.49,332.0199999999999,318.36999999999995,360.06,343.57,302.35,282.78000000000003,269.95000000000005,19.696666666666665,20.064,23.100666666666665,24.559285714285714,25.748,27.764,29.94214285714286,26.949333333333332,27.120666666666665,22.28
ARH1,2018,123.23,186.56,200.625,203.21500000000003,217.87,221.65,223.51,204.41,215.84000000000003,207.83,43.480000000000004,19.900000000000002,58.66999999999999,24.31,49.53,19.140000000000004,40.97,23.21,57.78,30.19,289.14,307.63000000000005,275.89,345.57,317.5,315.65,310.76000000000005,288.88,238.42000000000002,269.3,19.033076923076923,24.563076923076924,25.753846153846155,27.11769230769231,28.175384615384615,28.685384615384613,29.743846153846153,27.45307692307692,28.146923076923077,27.5
ARH2,2016,199.73000000000002,212.32,300.36499999999995,330.895,340.0999999999999,331.32500000000005,319.31000000000006,277.5,230.85999999999999,186.455,92.77000000000002,111.25999999999999,32.40999999999999,43.629999999999995,77.26,88.75,15.29,35.25,28.230000000000004,4.579999999999999,446.02,418.21999999999997,520.4699999999999,465.1400000000001,459.8999999999999,360.39,425.72,375.78999999999996,294.73999999999995,274.04999999999995,19.38,20.6055,25.731,27.4345,28.6665,27.675,27.0235,24.753,21.273,18.302
ARH2,2017,122.73499999999999,162.72000000000003,191.79499999999996,204.785,227.63500000000002,226.81000000000003,227.525,229.24,205.05,164.46,101.87000000000002,43.35,79.98000000000002,22.05,108.05,26.54,32.89,59.769999999999996,113.89999999999999,21.09,309.58000000000004,304.92999999999995,320.48999999999995,347.92999999999995,320.03999999999996,388.42,320.86,261.39,260.03000000000003,292.01,18.105333333333334,21.623571428571427,22.844,25.15642857142857,25.493333333333332,28.127142857142857,28,25.769333333333332,25.362142857142857,21.107333333333333
ARH2,2018,105.36500000000001,214.115,235.91000000000003,239.695,266.73499999999996,268.815,230.20000000000002,256.62,258.235,220.45999999999998,94.96999999999998,41.75,65.74,33.05,65.56,30.089999999999996,21.39,87.01,38.220000000000006,117.27,303.84000000000003,379.05,372.38000000000005,387.38999999999993,400.21000000000004,391.97999999999996,343.49999999999994,295.26000000000005,319.41,254.45999999999998,15.5575,23.34375,24.851875,26.781333333333333,27.126875,28.365625,26.276,26.929375,27.32375,24.57125
COH1,2017,178.89,196.44500000000002,224.5,199.83499999999992,193.98,208.00000000000003,99.36000000000003,78.25500000000001,54.51000000000001,31.58999999999999,8.53,8.29,20.54,53.28999999999999,18.470000000000006,5.3199999999999985,38.38000000000001,35.519999999999996,5.21,20.719999999999995,481.38999999999993,478.77,419.2199999999999,372.00999999999993,381.0299999999999,363.96000000000004,257.98,267.79999999999995,201.10000000000002,176.02999999999997,20.302777777777777,22.18777777777778,24.41176470588235,21.313333333333333,21.405882352941177,21.578888888888887,13.42,9.342777777777778,7.596470588235294,4.405
COH1,2021,133.26000000000002,209.49999999999997,178.085,227.19499999999996,217.43,193.31499999999997,201.245,132.20999999999998,88.62499999999999,55.93000000000001,30.13,9.299999999999999,47.16,15.299999999999997,24.980000000000004,11.660000000000002,10.520000000000001,7.2799999999999985,9.37,12.01,419.4,460.75000000000017,393.52000000000004,425.59,384.2800000000001,368.52,346.75000000000006,313.42999999999995,278.26,190.33,17.25294117647059,24.242941176470588,21.9225,24.647058823529413,23.78764705882353,22.76,22.296470588235294,16.96125,11.849411764705883,8.021764705882353
COH1,2022,115.32500000000002,208.365,223.64000000000004,240.545,243.81499999999997,221.305,173.4,125.30000000000001,80.21500000000002,32.755,45.31,3.8099999999999996,21.950000000000003,58.97,25.539999999999996,10.01,20.039999999999996,13.15,4.9,9.51,417.56000000000006,484.99999999999994,442.88,439.92,430.03,409.3399999999999,309.23,304.75,262.09,213.04999999999998,13.903157894736843,22.793333333333333,23.67,25.60388888888889,24.610555555555557,22.885555555555555,19.737222222222222,15.129444444444445,9.963888888888889,3.526315789473684
COH1,2023,118.71000000000002,134.25,184.71499999999997,211.74500000000003,195.395,213.22000000000003,148.515,145.29500000000002,99.71499999999999,61.629999999999995,64.07,59.16,43.92000000000001,27.180000000000003,40.93000000000001,29.44,20.08,5.48,5.97,10.860000000000001,389.8500000000001,411.44,427.29999999999995,387.37999999999994,398.44,382.53,320.7200000000001,326.7900000000001,269.15,194.11999999999998,16.793529411764705,17.85,21.60058823529412,24.6875,21.779411764705884,23.687058823529412,18.79,17.145294117647058,12.634117647058824,7.26
DEH1,2014,119.29499999999999,133.09999999999997,188.93,198.66,226.26,208.285,188.67499999999998,202.48999999999998,214.14000000000004,145.945,48.46,28.919999999999998,45.410000000000004,13.529999999999998,65.98,43.489999999999995,69.05000000000001,15.579999999999998,46.77,34.59,303.81000000000006,343.51,359.20000000000005,349.43000000000006,343.16,299.15,288.86,307.91999999999996,247.75000000000003,230.15,17.787333333333333,19.158,22.921333333333333,24.487142857142857,25.696666666666665,24.201333333333334,23.527142857142856,23.464,24.55,19.528666666666666
DEH1,2015,116.12,117.475,156.72,219.92,190.3,195.57999999999998,218.805,203.35500000000005,204.90500000000003,199.31,8.990000000000002,27.91,77.27999999999999,70.75,84.27000000000002,35.58,38.58,50.89000000000001,20.39,43.91,307.96,339.16,283.5,337.9700000000001,295.39,279.84999999999997,335.65000000000003,289.90999999999997,285.5,245.35999999999999,17.847142857142856,18.415714285714287,20.96785714285714,26.025714285714287,23.707142857142856,25.28923076923077,26.204285714285714,24.707142857142856,24.95357142857143,24.716428571428573
DEH1,2016,65.41000000000001,71.315,169.12,148.56000000000003,193.455,223.10500000000002,233.26999999999998,229.94500000000002,215.99,215.35499999999996,80.17000000000002,65.67000000000002,54.47,20.84,98.82000000000001,42.15,71.61,13.280000000000001,36.31,22.57,189.4,231.42999999999998,302.01000000000005,361.13,306.41,343.54,323.82,323.54999999999995,321.12,263.61,13.902,14.686428571428571,22.077142857142857,21.06,22.966,26.607857142857142,27.712142857142858,27.58214285714286,26.355,24.941333333333333
DEH1,2017,99.89000000000001,102.61,130.74999999999997,179.885,195.20499999999998,210.03,216.87,172.37499999999994,191.48499999999999,143.435,46.79999999999999,75.91999999999999,47.199999999999996,26.619999999999997,13.97,66.44,131.67,99.57999999999998,44.029999999999994,97.1,301.21000000000004,261.53999999999996,257.7,331.98999999999995,331.24000000000007,304.76,281.31,265.33000000000004,254.01,241.67,16.963571428571427,17.686923076923076,20.10923076923077,23.14785714285714,25.61230769230769,27.26153846153846,26.18642857142857,23.40230769230769,24.763076923076923,20.265714285714285
DEH1,2018,136.41000000000003,157.565,146.70000000000002,190.82,207.99,207.065,220.075,221.77500000000003,216.545,216.16000000000003,68.53,121.47000000000001,85.27000000000001,24.040000000000003,14.110000000000001,126.62,60.34000000000001,48.71,38.529999999999994,102.83999999999999,307.47999999999996,255.67,283.96,326.2900000000001,367.35,302.11999999999995,292.95,271.9200000000001,291.01000000000005,196.53,18.918666666666667,21.29714285714286,20.787142857142857,23.833571428571428,25.771428571428572,24.96,25.838571428571427,25.924285714285716,26.095714285714287,24.281333333333333
DEH1,2019,106.21499999999999,158.065,134.25000000000003,189.99,201.16999999999996,197.03000000000003,201.14000000000001,188.52500000000003,193.3,183.29500000000002,43.919999999999995,36.230000000000004,49.02,40.45999999999999,72.5,41.58,26.23,28.089999999999996,45.14,28.470000000000002,269.68,316.00000000000006,266.27,331.58000000000004,312.38999999999993,307.84000000000003,303.34999999999997,249.17,240.81,236.87,18.092307692307692,22.288461538461537,21.236666666666665,24.997692307692308,26.548461538461538,28.509166666666665,26.026153846153846,26.4825,25.16769230769231,24.465384615384615
DEH1,2020,93.35,155.155,147.95000000000002,201.36000000000004,193.76,218.65000000000003,196.065,189.425,181.89999999999998,160.095,22.550000000000004,11.13,34.49,18.270000000000003,108.69,42.379999999999995,106.77000000000001,75.75999999999999,65.35,51.16,240.99,311.96000000000004,274.24,329.56000000000006,294.05,311.15000000000003,243.09,227.21000000000004,228.85000000000002,214.77,16.90076923076923,21.997692307692308,22.1275,26.817692307692308,26.7075,28.143846153846155,26.67,24.389230769230767,25.39666666666667,22.21923076923077
DEH1,2021,108.88499999999999,126.58999999999999,158.1,185.09500000000003,206.475,237.60500000000002,204.98499999999999,239.17499999999998,214.74,210.23499999999996,21.630000000000003,3.8499999999999996,89.35,47.550000000000004,98.16,40.06,29.16,92.58000000000001,47.529999999999994,34.86,324.79999999999995,351.6,285.74999999999994,343.69,338.00000000000006,359.84000000000003,277.64,267.87,275.87,254.07000000000002,16.852,18.25,21.125714285714285,22.403333333333332,25.455000000000002,26.328666666666667,24.90357142857143,26.36466666666667,25.838571428571427,23.800666666666668
DEH1,2022,71.715,135.65999999999997,176.86500000000004,194.865,223.56499999999997,235.01000000000005,251.50000000000006,228.425,234.605,203.11499999999998,45.16,51.82,24.320000000000004,41.37,43.49999999999999,40.78,47.49999999999999,26,46.84,26.51,287.07000000000005,297.58,363.90999999999997,326.37,363.0300000000001,350.50999999999993,318.72,333.58,313.78000000000003,265.03999999999996,13.342,18.954,22.242666666666665,23.188,25.723333333333333,27.017333333333333,28.016666666666666,25.799333333333333,26.449333333333332,23.207333333333334
DEH1,2023,118.66999999999999,114.025,166.30499999999995,205.335,242.325,226.07,219.99,213.13000000000002,218.34500000000003,149.17,44.29,8.549999999999999,85.29,42.01,102.91,44.61999999999999,40.99,15.619999999999997,56.75,81.10999999999999,337.19,346.43,321.25999999999993,307.12000000000006,316.48,339.98,302.36,273.98,283.49,169.52,17.90266666666667,17.501333333333335,21.129333333333335,24.76857142857143,26.706666666666667,25.393333333333334,26.432142857142857,24.322,24.846,19.494
GAH1,2014,116.25999999999999,158.37,183.705,225.45999999999998,243.32499999999996,253.35,248.49500000000003,259.7,265.995,260.405,196.94000000000003,54.050000000000004,70.06,49,35.599999999999994,29.57,66.3,34.480000000000004,27.759999999999994,80.19999999999999,275.09999999999997,318.92,382.53999999999996,355.74,391.93,404.25,329.06999999999994,348.69,347.04999999999995,322.33000000000004,16.243529411764705,20.020625,21.761875,24.221875,25.435625,26.590625,26.2675,27.55125,28.06875,27.6325
GAH1,2015,163.79,144.155,174.805,200.445,223.73500000000004,248.36500000000004,223.26,253.92499999999995,253.33000000000004,243.18500000000003,56.36999999999999,82.02000000000001,6.960000000000001,20.39,65.62,61.36999999999999,39.97,66.03,68.88000000000001,41.29,260.84000000000003,247.71,391.2,353.56,337.13,361.26000000000005,317.26000000000005,353.12,316.61,325.7699999999999,20.756,19.594666666666665,21.735333333333333,24.58142857142857,25.468,28.544666666666668,27.339285714285715,28.686666666666667,28.677333333333333,27.592666666666666
