site,year,gdd_s1,gdd_s2,gdd_s3,gdd_s4,gdd_s5,gdd_s6,gdd_s7,gdd_s8,gdd_s9,gdd_s10,prcp_s1,prcp_s2,prcp_s3,prcp_s4,prcp_s5,prcp_s6,prcp_s7,prcp_s8,prcp_s9,prcp_s10,rad_s1,rad_s2,rad_s3,rad_s4,rad_s5,rad_s6,rad_s7,rad_s8,rad_s9,rad_s10,t2m_s1,t2m_s2,t2m_s3,t2m_s4,t2m_s5,t2m_s6,t2m_s7,t2m_s8,t2m_s9,t2m_s10,t2max_s1,t2max_s2,t2max_s3,t2max_s4,t2max_s5,t2max_s6,t2max_s7,t2max_s8,t2max_s9,t2max_s10,t2min_s1,t2min_s2,t2min_s3,t2min_s4,t2min_s5,t2min_s6,t2min_s7,t2min_s8,t2min_s9,t2min_s10,total_gdd,total_prcp,total_rad,avg_t2m,max_t2max,min_t2min,gdd_early,gdd_mid,gdd_late,prcp_early,prcp_mid,prcp_late,rad_early,rad_mid,rad_late
ARH1,2016,103.14500000000001,146.60999999999996,134.53000000000003,205.385,218.16000000000003,250.015,239.17000000000002,261.24000000000007,239.92499999999998,248.38000000000002,69.78,65.92999999999999,21.259999999999998,66.31,20.839999999999996,12.65,53.669999999999995,85.25000000000001,26.78,59.56,259.06,308.29,292.29,323.21999999999997,367.39000000000004,390.39,336.88,335.29999999999995,291.45000000000005,266.71,16.256,19.688666666666666,19.47714285714286,23.675333333333334,26.728571428571428,29.271333333333335,29.089285714285715,29.762,28.997857142857143,27.272,25.24,28.37,29.53,30.9,34.7,36.96,36.93,40.04,37.07,36.37,5.93,9.22,11.02,13.8,17.68,19.7,20.81,23.17,21.94,20.67,2046.56,482.03000000000003,3170.9800000000005,25.021819047619047,40.04,5.93,384.28499999999997,912.73,749.5450000000001,156.96999999999997,153.47,171.59000000000003,859.6400000000001,1417.88,893.46
ARH1,2017,142.95,153.415,194.78,198.805,229.97,245.815,238.37999999999997,235.185,240.46000000000004,185.07500000000002,107.66,44.49,67.55999999999999,38.95,78.69,54.29,37.26,44.019999999999996,57.65999999999999,79.73000000000002,266.85999999999996,356.7,319.49,332.0199999999999,318.36999999999995,360.06,343.57,302.35,282.78000000000003,269.95000000000005,19.696666666666665,20.064,23.100666666666665,24.559285714285714,25.748,27.764,29.94214285714286,26.949333333333332,27.120666666666665,22.28,29.93,31.16,31.36,33.99,33.26,35.43,38.57,35.06,36.2,30.84,7.75,8.81,10.42,14.89,18.56,20.77,20.78,17.77,17.1,12,2064.835,610.31,3152.1499999999996,24.72247619047619,38.57,7.75,491.145,912.9699999999999,660.72,219.70999999999998,209.19,181.41,943.05,1354.0199999999998,855.0800000000002
ARH1,2018,123.23,186.56,200.625,203.21500000000003,217.87,221.65,223.51,204.41,215.84000000000003,207.83,43.480000000000004,19.900000000000002,58.66999999999999,24.31,49.53,19.140000000000004,40.97,23.21,57.78,30.19,289.14,307.63000000000005,275.89,345.57,317.5,315.65,310.76000000000005,288.88,238.42000000000002,269.3,19.033076923076923,24.563076923076924,25.753846153846155,27.11769230769231,28.175384615384615,28.685384615384613,29.743846153846153,27.45307692307692,28.146923076923077,27.5,29.13,32.06,32.95,35.11,35.78,36.46,39.55,37.55,37.06,36.3,7.24,16.85,20.32,17.01,21.71,22.52,21.18,18.22,21.17,18.45,2004.7400000000002,367.18,2958.7400000000007,26.61723076923077,39.55,7.24,510.415,866.245,628.08,122.05,133.95,111.18,872.66,1289.48,796.5999999999999
ARH2,2016,199.73000000000002,212.32,300.36499999999995,330.895,340.0999999999999,331.32500000000005,319.31000000000006,277.5,230.85999999999999,186.455,92.77000000000002,111.25999999999999,32.40999999999999,43.629999999999995,77.26,88.75,15.29,35.25,28.230000000000004,4.579999999999999,446.02,418.21999999999997,520.4699999999999,465.1400000000001,459.8999999999999,360.39,425.72,375.78999999999996,294.73999999999995,274.04999999999995,19.38,20.6055,25.731,27.4345,28.6665,27.675,27.0235,24.753,21.273,18.302,28.12,29.62,33.73,33.5,36.36,35.64,35.08,36.02,33.07,31.16,8.13,8.71,16.06,19.07,22.46,19.78,16.19,11.41,9.69,6.77,2728.86,529.4300000000001,4040.4399999999996,24.0844,36.36,6.77,712.415,1321.63,694.815,236.44000000000003,224.92999999999998,68.06,1384.71,1711.1499999999999,944.5799999999999
ARH2,2017,122.73499999999999,162.72000000000003,191.79499999999996,204.785,227.63500000000002,226.81000000000003,227.525,229.24,205.05,164.46,101.87000000000002,43.35,79.98000000000002,22.05,108.05,26.54,32.89,59.769999999999996,113.89999999999999,21.09,309.58000000000004,304.92999999999995,320.48999999999995,347.92999999999995,320.03999999999996,388.42,320.86,261.39,260.03000000000003,292.01,18.105333333333334,21.623571428571427,22.844,25.15642857142857,25.493333333333332,28.127142857142857,28,25.769333333333332,25.362142857142857,21.107333333333333,28.44,30.02,30.31,32.91,32.87,36.52,37.89,34.41,35.38,32.05,7.78,12.66,10.13,14.64,17.14,19.91,16.86,16.36,15.76,10.88,1962.755,609.4900000000001,3125.6800000000003,24.158861904761906,37.89,7.78,477.25,886.755,598.75,225.20000000000005,189.52999999999997,194.76,935,1377.25,813.4300000000001
ARH2,2018,105.36500000000001,214.115,235.91000000000003,239.695,266.73499999999996,268.815,230.20000000000002,256.62,258.235,220.45999999999998,94.96999999999998,41.75,65.74,33.05,65.56,30.089999999999996,21.39,87.01,38.220000000000006,117.27,303.84000000000003,379.05,372.38000000000005,387.38999999999993,400.21000000000004,391.97999999999996,343.49999999999994,295.26000000000005,319.41,254.45999999999998,15.5575,23.34375,24.851875,26.781333333333333,27.126875,28.365625,26.276,26.929375,27.32375,24.57125,27.72,31.11,31.63,33.49,33.82,36.29,35.23,36.25,35.61,35.79,2.41,13.07,16.46,19.33,20.02,21,18.45,19.09,16.81,15.05,2296.15,595.05,3447.48,25.112733333333335,36.29,2.41,555.3900000000001,1005.4449999999999,735.315,202.45999999999998,150.08999999999997,242.5,1055.2700000000002,1523.08,869.1300000000001
COH1,2017,178.89,196.44500000000002,224.5,199.83499999999992,193.98,208.00000000000003,99.36000000000003,78.25500000000001,54.51000000000001,31.58999999999999,8.53,8.29,20.54,53.28999999999999,18.470000000000006,5.3199999999999985,38.38000000000001,35.519999999999996,5.21,20.719999999999995,481.38999999999993,478.77,419.2199999999999,372.00999999999993,381.0299999999999,363.96000000000004,257.98,267.79999999999995,201.10000000000002,176.02999999999997,20.302777777777777,22.18777777777778,24.41176470588235,21.313333333333333,21.405882352941177,21.578888888888887,13.42,9.342777777777778,7.596470588235294,4.405,33.47,35.98,36.9,35.44,34.05,35.2,29.72,24.1,26.52,19.18,7.17,8.82,14.24,11.51,10.9,8.44,0.63,-3.62,-5.88,-6.7,1465.3650000000002,214.26999999999998,3399.29,16.59646732026144,36.9,-6.7,599.835,701.175,164.35500000000002,37.36,115.46,61.44999999999999,1379.3799999999997,1374.98,644.93
COH1,2021,133.26000000000002,209.49999999999997,178.085,227.19499999999996,217.43,193.31499999999997,201.245,132.20999999999998,88.62499999999999,55.93000000000001,30.13,9.299999999999999,47.16,15.299999999999997,24.980000000000004,11.660000000000002,10.520000000000001,7.2799999999999985,9.37,12.01,419.4,460.75000000000017,393.52000000000004,425.59,384.2800000000001,368.52,346.75000000000006,313.42999999999995,278.26,190.33,17.25294117647059,24.242941176470588,21.9225,24.647058823529413,23.78764705882353,22.76,22.296470588235294,16.96125,11.849411764705883,8.021764705882353,34.41,37.91,37.83,34.69,37.02,34.97,36.08,33.16,26.99,23.07,3.46,9.53,10.6,13.85,13.95,9.82,10.99,3.92,-3.27,-1.43,1636.7950000000003,177.71,3580.83,19.374198529411764,37.91,-3.27,520.845,839.185,276.765,86.59,62.46000000000001,28.659999999999997,1273.67,1525.14,782.02
COH1,2022,115.32500000000002,208.365,223.64000000000004,240.545,243.81499999999997,221.305,173.4,125.30000000000001,80.21500000000002,32.755,45.31,3.8099999999999996,21.950000000000003,58.97,25.539999999999996,10.01,20.039999999999996,13.15,4.9,9.51,417.56000000000006,484.99999999999994,442.88,439.92,430.03,409.3399999999999,309.23,304.75,262.09,213.04999999999998,13.903157894736843,22.793333333333333,23.67,25.60388888888889,24.610555555555557,22.885555555555555,19.737222222222222,15.129444444444445,9.963888888888889,3.526315789473684,32.71,37.29,38.31,38.21,35.89,35.54,36.94,29.37,25.93,20.88,-0.04,7.42,11.39,14.33,13.01,14.11,5.98,3.19,-2.58,-7.36,1664.6650000000002,213.19,3713.850000000001,18.18233625730994,38.31,-7.36,547.3300000000002,879.0649999999999,238.27000000000004,71.07000000000001,114.55999999999999,27.560000000000002,1345.44,1588.52,779.8899999999999
COH1,2023,118.71000000000002,134.25,184.71499999999997,211.74500000000003,195.395,213.22000000000003,148.515,145.29500000000002,99.71499999999999,61.629999999999995,64.07,59.16,43.92000000000001,27.180000000000003,40.93000000000001,29.44,20.08,5.48,5.97,10.860000000000001,389.8500000000001,411.44,427.29999999999995,387.37999999999994,398.44,382.53,320.7200000000001,326.7900000000001,269.15,194.11999999999998,16.793529411764705,17.85,21.60058823529412,24.6875,21.779411764705884,23.687058823529412,18.79,17.145294117647058,12.634117647058824,7.26,28.59,31.09,35.19,36.83,34.73,37.18,33.4,29.76,27.84,25.13,7.61,7.5,10.11,13.1,9.16,12.88,7.71,5.87,-1.82,-9,1513.19,307.0900000000001,3507.7200000000003,18.22275,37.18,-9,437.675,768.8750000000001,306.64,167.15,117.63000000000001,22.310000000000002,1228.5900000000001,1489.07,790.0600000000001
